Eion,Wion_H
4.999996975974968505e-02,9.190817270742467840e+17
1.499999092792490551e-01,1.618862206592282400e+16
2.499998487987483975e-01,1.132274498871932200e+16
3.499997883182477953e-01,9.662075723707158000e+15
4.499997278377471099e-01,9.116261349891960000e+15
5.499996673572464800e-01,8.686577693909795000e+15
6.499996068767459612e-01,8.640125406776591000e+15
7.499995463962453313e-01,7.316235223480178000e+15
8.499994859157447014e-01,7.362687510613381000e+15
9.499994254352439604e-01,8.674964622126472000e+15
1.049999364954743220e+00,8.744643052826281000e+15
1.149999304474242701e+00,8.326572468627424000e+15
1.249999243993742182e+00,7.327848295263475000e+15
1.349999183513241441e+00,6.062023470883587000e+15
1.449999123032740700e+00,6.062023470883587000e+15
1.549999062552239959e+00,5.330399948535580000e+15
1.649999002071739440e+00,5.307173804968976000e+15
1.749998941591238921e+00,4.691681000453986000e+15
1.849998881110738180e+00,4.006509765239174000e+15
1.949998820630237661e+00,4.076188195938986000e+15
2.049998760149736921e+00,3.809087544923040000e+15
2.149998699669236846e+00,3.123916309708224500e+15
2.249998639188735883e+00,3.054237879008413000e+15
2.349998578708235364e+00,3.065850950791715500e+15
2.449998518227734845e+00,2.601328079459636500e+15
2.549998457747233882e+00,2.578101935893033000e+15
2.649998397266733363e+00,2.067126777427747250e+15
2.749998336786232400e+00,2.206483638827370250e+15
2.849998276305732325e+00,2.148418279910860750e+15
2.949998215825231362e+00,1.637443121445574750e+15
3.049998155344730844e+00,1.556151618962461250e+15
3.149998094864230325e+00,1.602603906095669000e+15
3.249998034383729362e+00,1.370342470429630000e+15
3.349997973903228843e+00,1.196146393680100500e+15
3.449997913422728324e+00,1.080015675847080875e+15
3.549997852942227805e+00,1.091628747630382875e+15
3.649997792461726842e+00,9.522718862307592500e+14
3.749997731981226767e+00,1.103241819413684625e+15
3.849997671500725804e+00,7.548496659146258750e+14
3.949997611020224841e+00,6.503320198649083750e+14
4.049997550539724323e+00,8.361411683977397500e+14
4.149997490059224248e+00,7.896888812645318750e+14
4.249997429578723285e+00,6.851712352148142500e+14
4.349997369098222322e+00,5.690405173817946250e+14
4.449997308617722247e+00,7.083973787814181250e+14
4.549997248137221284e+00,6.387189480816065000e+14
4.649997187656720321e+00,5.458143738151908750e+14
4.749997127176220246e+00,4.993620866819832500e+14
4.849997066695720171e+00,4.645228713320774375e+14
4.949997006215218320e+00,4.529097995487754375e+14
5.049996945734718246e+00,5.225882302485870625e+14
5.149996885254217283e+00,4.180705841988696875e+14
5.249996824773716320e+00,4.180705841988696875e+14
5.349996764293216245e+00,4.296836559821715000e+14
5.449996703812715282e+00,3.600052252823600000e+14
5.549996643332215207e+00,3.600052252823600000e+14
5.649996582851714244e+00,4.529097995487754375e+14
5.749996522371213281e+00,3.251660099324541875e+14
5.849996461890713206e+00,3.948444406322658750e+14
5.949996401410212243e+00,4.877490148986812500e+14
6.049996340929711280e+00,5.109751584652851875e+14
6.149996280449211206e+00,2.206483638827367812e+14
6.249996219968711131e+00,1.161307178330193594e+14
6.349996159488209280e+00,1.161307178330193555e+13
6.449996099007709205e+00,0.000000000000000000e+00
6.549996038527209130e+00,0.000000000000000000e+00
6.649995978046707279e+00,0.000000000000000000e+00
6.749995917566207204e+00,0.000000000000000000e+00
6.849995857085707129e+00,0.000000000000000000e+00
6.949995796605206166e+00,0.000000000000000000e+00
7.049995736124705203e+00,0.000000000000000000e+00
7.149995675644205129e+00,0.000000000000000000e+00
7.249995615163704166e+00,0.000000000000000000e+00
7.349995554683203203e+00,0.000000000000000000e+00
7.449995494202703128e+00,0.000000000000000000e+00
7.549995433722202165e+00,0.000000000000000000e+00
7.649995373241702090e+00,0.000000000000000000e+00
7.749995312761201127e+00,0.000000000000000000e+00
7.849995252280700164e+00,0.000000000000000000e+00
7.949995191800200089e+00,0.000000000000000000e+00
8.049995131319699126e+00,0.000000000000000000e+00
8.149995070839198164e+00,0.000000000000000000e+00
8.249995010358697201e+00,0.000000000000000000e+00
8.349994949878198014e+00,0.000000000000000000e+00
8.449994889397697051e+00,0.000000000000000000e+00
8.549994828917194312e+00,0.000000000000000000e+00
8.649994768436695125e+00,0.000000000000000000e+00
8.749994707956194162e+00,0.000000000000000000e+00
8.849994647475694975e+00,0.000000000000000000e+00
8.949994586995194013e+00,0.000000000000000000e+00
9.049994526514693050e+00,0.000000000000000000e+00
9.149994466034192087e+00,0.000000000000000000e+00
9.249994405553691124e+00,0.000000000000000000e+00
9.349994345073190161e+00,0.000000000000000000e+00
9.449994284592690974e+00,0.000000000000000000e+00
9.549994224112190011e+00,0.000000000000000000e+00
9.649994163631689048e+00,0.000000000000000000e+00
9.749994103151188085e+00,0.000000000000000000e+00
9.849994042670687122e+00,0.000000000000000000e+00
9.949993982190186159e+00,0.000000000000000000e+00
