# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_ion
# 18 Ntot_ion
# 19 Zavg_ion
# 20 Ukin_ion
# 21 Urad_ion
# 22 Dens_ele
# 23 Ntot_ele
# 24 Zavg_ele
# 25 Ukin_ele
# 26 Urad_ele
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion            Dens_ele            Ntot_ele            Zavg_ele            Ukin_ele            Urad_ele             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4486966140e+00    1.4486966140e+00    1.4486966140e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4486966140e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.3302543789e-03              219338    4.7081080373e-03              161263   -4.6614249666e-03              186114    4.9801106130e-03              197198   -4.3983471892e-03              272027    4.1389128841e-03              174026   -5.5983937535e+00              307352    5.8131204147e+00              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0885063198e+00    4.3917466688e-02    6.6545599432e-02    1.5152422134e+00    1.4486966140e+00    1.4105507600e+00    0.0000000000e+00    0.0000000000e+00    1.0469145338e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    7.7487760073e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4104732723e+00    0.0000000000e+00    2.8599280689e-02    2.8807936116e-02    1.7880616376e-02    7.1905842546e-03    7.1332354613e-03    1.5079800487e-02   -2.4064455686e-03              395890    2.3271434408e-03              414843   -2.4789029501e-03              358138    2.4389126397e-03              211068   -2.5936152148e-03              347947    2.8436758344e-03              156819   -1.1464501440e-03              245555    1.1284518319e-03              133910   -1.0455196398e-03              436599    1.1364957699e-03              408310   -1.7187128875e-03              354408    1.5508973703e-03              327876   -4.8690096228e-03              459169    5.4864672996e-03              395890   -5.0450001424e-03              165679    5.3031199915e-03              293819   -4.2968604325e-03              335486    4.7193054431e-03              272027   -5.5991796587e+00              307352    5.8122260162e+00              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.1770126397e+00    3.0035759678e-01    7.0683757913e-01    2.3533201314e+00    1.6464825523e+00    1.4583761462e+00    0.0000000000e+00    0.0000000000e+00    8.9494398518e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    4.3072393077e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4583330738e+00    0.0000000000e+00    3.0610219710e-02    1.2476232372e-01    2.5893694891e-02    2.2980487550e-03    2.2882632436e-03    7.0909143487e-01   -3.5301083739e-03                 241    3.5301083739e-03                 159   -8.3041115656e-03                 261    6.9180906185e-02                 178   -2.2979977869e-03              216088    2.3321452225e-03              272027   -7.4400805497e-04              206285    7.9169831983e-04              198137   -7.6343076957e-04              431626    8.4446208412e-04              158871   -2.2390081378e-02                 259    1.8768457762e-01                 184   -4.7908664809e-03              307398    4.7108651998e-03              114254   -4.9661874892e-03              358138    5.1498430669e-03              346240   -5.0575496097e-03              272027    4.7984287236e-03              174026   -5.5981142927e+00              307352    5.8131902506e+00              262186    1.9778593829e-01    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.2655189595e+00    2.8740336410e-01    2.4223373855e+00    8.4283543204e+00    6.0060169349e+00    1.4100529742e+00    0.0000000000e+00    0.0000000000e+00    7.0183013462e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.5573203209e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    5.4649589107e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4099983246e+00    0.0000000000e+00    3.2999787669e-02    3.0793559869e+00    1.8498036451e-02    2.3545846434e-03    2.3347181212e-03    3.8827582324e+00   -2.3657468753e-02                 235    2.3657468753e-02                 165   -5.1640628310e-02                 147    4.2501633643e-01                 200   -2.0949946467e-03              156819    1.9356210114e-03              473861   -7.2702897896e-04              301166    7.1164231103e-04              361919   -7.2900796485e-04              109210    9.5715762594e-04              408310   -8.3340938395e-02                 153    4.7144779481e-01                 201   -4.9060283890e-03              395890    3.9140746923e-03              386712   -4.5237114073e-03              380199    3.7632048720e-03              386389   -4.7727262552e-03              347947    5.6106447034e-03              156819   -5.5980581202e+00              307352    5.8133979568e+00              262186    4.5573203209e+00    3.0018315096e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    1.6401877352e-01    1.9495177913e+00    1.1885942990e+01    9.9364251988e+00    1.4258411992e+00    0.0000000000e+00    0.0000000000e+00    1.0460101791e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4877285849e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    5.5007399118e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4257861918e+00    0.0000000000e+00    6.3770519769e-02    4.9273612941e+00    1.7664015885e-02    5.4841283162e-03    5.4441622328e-03    5.4403776707e+00   -4.3738866073e-02                 226    4.3738866073e-02                 174   -2.1326880194e-01                 163    4.7620861074e-01                 601   -2.0623378222e-03              175032    2.0004316566e-03              144234   -9.6422453728e-04              447765    1.0845062972e-03              420066   -9.7194435986e-04              190575    1.0279113200e-03              229708   -3.1030229018e-01                 170    4.3356736997e-01                 601   -4.4404927390e-03              447175    4.3980631759e-03              321612   -4.3813329108e-03              118758    4.2943453867e-03              328908   -3.9191510862e-03              144234    3.8970685699e-03              315371   -5.5997225572e+00              307352    5.8121184411e+00              262186    8.4877285849e+00    1.1680062056e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.4425315992e+00    3.4461953536e-01    1.2303947885e+01    3.5702990175e+01    2.3399042290e+01    1.4359352201e+00    0.0000000000e+00    0.0000000000e+00    3.4267054955e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1950345676e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    3.5064373376e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4359001557e+00    0.0000000000e+00    9.7627635134e-02    1.3495573955e+01    1.8346927324e-02    2.0228643031e-03    2.0143590338e-03    2.0651469214e+01   -4.5623199993e-02                 624    4.5623199993e-02                 576   -6.5438691030e-01                 214    4.7306034758e-01                1001   -1.9715208283e-03              144235    2.2655764464e-03              161307   -8.2367103703e-04              175032    7.0550780447e-04              223689   -6.7603488931e-04              164129    7.6624089330e-04              158871   -9.5300254895e-01                 201    4.1695909257e-01                1400   -5.1479289668e-03              341336    5.0637663539e-03              257684   -4.9275956190e-03              337853    4.5299738898e-03              351170   -4.9827978306e-03              272027    4.2332791370e-03              330123   -5.5974625272e+00              307352    5.8132155387e+00              262186    2.1950345676e+01    1.0582609483e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6.5310379191e+00    1.6042437825e-01    1.2344932538e+01    7.6951724378e+01    6.4606791840e+01    1.4159230621e+00    0.0000000000e+00    0.0000000000e+00    7.5535801316e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.3158095226e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    5.3978506526e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4158690836e+00    0.0000000000e+00    1.2865815184e-01    3.6943316010e+01    1.7497098773e-02    5.0197184431e-03    4.9824638488e-03    3.8436327873e+01   -4.6784785317e-02                 163    4.6784785317e-02                 237   -1.2614877458e+00                 201    4.0319692389e-01                1401   -1.9675204774e-03              150318    2.2966368177e-03               90321   -8.9366661624e-04              316577    9.7041081305e-04              133910   -1.0097173454e-03              146241    1.0875750227e-03              300281   -1.1207028402e+00                 601    4.3073790607e-01                1801   -5.9692187114e-03              395890    4.6550202256e-03              357285   -4.9692562594e-03              293819    3.9299288938e-03              186140   -5.2431501754e-03               90321    4.3776762879e-03              127095   -5.5988973170e+00              307352    5.8137552974e+00              262186    6.3158095226e+01    2.1354342157e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    7.6195442389e+00    1.0593938679e-01    9.4759894010e+00    8.9447274406e+01    7.9971285005e+01    1.4305723159e+00    0.0000000000e+00    0.0000000000e+00    8.8016702090e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.8522588391e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    4.5470199301e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4305268457e+00    0.0000000000e+00    2.2939805118e-01    4.2894566708e+01    1.7882775131e-02    3.1963605914e-03    3.1757119442e-03    4.4868482483e+01   -7.5216725117e-02                 176    7.5216725117e-02                 224   -1.1945170876e+00                 601    4.3399492206e-01                2201   -2.1749235813e-03              250082    1.9805194899e-03              377750   -8.4919564794e-04              447765    8.9640538941e-04              420066   -8.2772967354e-04              190575    8.3740286319e-04              229708   -1.1989192301e+00                1000    6.2060326971e-01                 173   -4.2701862598e-03              357286    4.2904624954e-03              416029   -4.5167560707e-03              185724    4.2682805976e-03              303725   -4.1639855713e-03              404777    4.3446649263e-03              250082   -5.5979627755e+00              307352    5.8119703444e+00              262186    7.8522588391e+01    3.4957220681e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.7080505588e+00    2.3720677626e-01    4.1145044227e+01    1.7345644536e+02    1.3231140114e+02    1.4219591780e+00    0.0000000000e+00    0.0000000000e+00    1.7203448619e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3086270452e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    4.0708855265e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4219184692e+00    0.0000000000e+00    2.9195388338e-01    7.6637603512e+01    1.7556041129e-02    4.3038083891e-03    4.2796568968e-03    9.5078789284e+01   -7.6702303594e-02                 578    7.6702303594e-02                 622   -1.2182667255e+00                1401    1.3651766210e+00                 200   -1.8718778528e-03              325717    1.9602718089e-03              473901   -9.9597691176e-04              187907    9.5693826409e-04              133910   -9.3551865595e-04              279204    1.0185221258e-03              408310   -1.1699213481e+00                1401    1.7848886529e+00                 201   -4.1895848293e-03              369159    4.8190714204e-03              238267   -4.5327424448e-03              125049    4.3990180801e-03              446046   -4.2014820956e-03              383698    3.9949661557e-03              226182   -5.5977060900e+00              307352    5.8138437586e+00              262186    1.3086270452e+02    3.9329611656e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    9.7965568786e+00    1.0507654293e-01    2.8490201655e+01    2.7113759989e+02    2.4264739824e+02    1.4248287692e+00    0.0000000000e+00    0.0000000000e+00    2.6971277112e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4119870162e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+06    4.0000000000e+06    1.0000000000e+00    4.5434671907e-05    0.0000000000e+00    2.4674011003e+06    6.0000000000e+06   -1.0000000000e+00    1.4247833345e+00    0.0000000000e+00    3.8308980097e-01    1.3613405976e+02    1.7301433571e-02    3.7205044216e-03    3.7011012334e-03    1.3317089852e+02   -8.0206644766e-02                 234    8.0206644766e-02                 166   -1.2317890284e+00                1801    2.0207748838e+00                 200   -2.0365403432e-03              387876    1.9550442928e-03               90321   -8.3730939184e-04              382366    8.7496423397e-04              298332   -8.3462590270e-04              243910    9.2723714185e-04              229708   -1.1476188177e+00                2201    1.9627539301e+00                 601   -4.1635093091e-03              395890    5.3816087235e-03              267228   -4.0649727257e-03              416945    4.3297210786e-03              186141   -4.7949182992e-03               90321    4.4042701106e-03              312611   -5.5975742574e+00              307352    5.8142086237e+00              262186    2.4119870162e+02    5.1004951802e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
