Eele,Wele
2.500001042982233912e-01,1.059934197190862592e+18
7.500003128946701736e-01,9.713658796691640000e+16
1.250000521491116956e+00,4.769065633610652000e+16
1.750000730087563738e+00,2.840988007465510800e+16
2.250000938684010521e+00,1.922364000669144400e+16
2.750001147280457747e+00,1.413619072267934600e+16
3.250001355876904086e+00,1.146023203853017400e+16
3.750001564473351312e+00,9.466656754510214000e+15
4.250001773069797650e+00,7.935126413987102000e+15
4.750001981666244433e+00,6.888092932780001000e+15
5.250002190262692103e+00,6.119308366943053000e+15
5.750002398859138886e+00,5.573804232916235000e+15
6.250002607455584780e+00,5.074597497718262000e+15
6.750002816052032451e+00,4.194017875177673500e+15
7.250003024648479233e+00,3.759999116257099000e+15
7.750003233244925127e+00,3.254753589907536500e+15
8.250003441841371910e+00,2.890722872025882500e+15
8.750003650437818692e+00,2.771650297780460000e+15
9.250003859034265474e+00,2.595596309591844000e+15
9.750004067630712257e+00,2.499904695958981000e+15
1.025000427622716082e+01,2.424961749359779000e+15
1.075000448482360760e+01,2.282198532904279500e+15
1.125000469342005438e+01,2.122867350981602000e+15
1.175000490201649939e+01,1.979794452928587500e+15
1.225000511061294617e+01,1.838734485259433750e+15
1.275000531920939295e+01,1.800798489563563750e+15
1.325000552780584151e+01,1.745210642809204750e+15
1.375000573640228829e+01,1.691326044841188500e+15
1.425000594499873507e+01,1.474858608176551250e+15
1.475000615359518008e+01,1.362908710674031000e+15
1.525000636219162686e+01,1.264275121864753250e+15
1.575000657078807365e+01,1.252816902756611000e+15
1.625000677938452043e+01,1.209306638305419500e+15
1.675000698798096721e+01,1.194906444020855750e+15
1.725000719657741399e+01,1.159138219507597000e+15
1.775000740517386077e+01,1.220300335017271250e+15
1.825000761377030756e+01,1.197229056002231250e+15
1.875000782236675434e+01,1.120118338220405875e+15
1.925000803096320112e+01,1.013433027875667625e+15
1.975000823955964790e+01,9.420514196479092500e+14
2.025000844815609469e+01,7.980494768023251250e+14
2.075000865675254502e+01,7.873654616879738750e+14
2.125000886534899180e+01,7.217129630142860000e+14
2.175000907394543859e+01,6.950803456277877500e+14
2.225000928254188537e+01,6.298923693503752500e+14
2.275000949113832860e+01,6.015565031775333750e+14
2.325000969973477538e+01,5.417879548566791250e+14
2.375000990833122216e+01,5.174779494515641250e+14
2.425001011692766895e+01,5.167037454577713125e+14
2.475001032552411573e+01,5.185618350428752500e+14
2.525001053412056251e+01,4.696321426351273750e+14
2.575001074271700929e+01,4.491931571989805625e+14
2.625001095131345963e+01,4.635933514835382500e+14
2.675001115990990641e+01,4.529093363691886875e+14
2.725001136850635319e+01,4.357220077069751250e+14
2.775001157710279998e+01,4.109474799055855625e+14
2.825001178569924676e+01,4.115668431006203750e+14
2.875001199429569354e+01,4.250379925926268750e+14
2.925001220289213677e+01,4.333993957255965625e+14
2.975001241148858355e+01,3.908181760669585000e+14
3.025001262008503033e+01,3.604693795102531250e+14
3.075001282868147712e+01,3.277979709721675000e+14
3.125001303727792390e+01,2.991524232018080000e+14
3.175001324587437068e+01,2.920297464589077500e+14
3.225001345447081746e+01,2.722101242177942188e+14
3.275001366306726425e+01,2.821199353383510000e+14
3.325001387166371103e+01,2.776295521743487812e+14
3.375001408026015781e+01,2.972943336167036875e+14
3.425001428885660459e+01,3.178881598516108125e+14
3.475001449745305138e+01,3.151010254739542500e+14
3.525001470604949816e+01,2.945071992390470625e+14
3.575001491464594494e+01,2.966749704216688750e+14
3.625001512324239172e+01,2.880038856911816875e+14
3.675001533183883851e+01,2.671003778587570938e+14
3.725001554043528529e+01,2.432548948499173125e+14
3.775001574903173207e+01,2.444936212399869375e+14
3.825001595762817885e+01,2.221965462187340625e+14
3.875001616622462564e+01,2.177061630547317812e+14
3.925001637482107242e+01,2.129060982932120625e+14
3.975001658341751920e+01,2.214223422249405625e+14
4.025001679201396598e+01,2.316418349430147812e+14
4.075001700061041277e+01,2.129060982932120625e+14
4.125001720920686665e+01,2.107383271105902812e+14
4.175001741780331344e+01,2.068673071416227812e+14
4.225001762639976022e+01,1.836411873278176875e+14
4.275001783499620700e+01,1.933961576496157812e+14
4.325001804359265378e+01,1.974220184173420312e+14
4.375001825218910056e+01,1.841057097240938125e+14
4.425001846078554735e+01,1.783766001700219062e+14
4.475001866938199413e+01,1.814734161451958750e+14
4.525001887797843381e+01,1.881315704918200000e+14
4.575001908657488059e+01,1.889057744856135000e+14
4.625001929517132737e+01,1.865831625042330000e+14
4.675001950376777415e+01,1.624279978978757500e+14
4.725001971236422094e+01,1.656796546718084688e+14
4.775001992096066772e+01,1.570085699413212812e+14
4.825002012955711450e+01,1.562343659475277500e+14
4.875002033815356128e+01,1.571634107400799375e+14
4.925002054675000807e+01,1.549956395574581562e+14
4.975002075534645485e+01,1.579376147338734688e+14
