Eele,Wele
2.500001042982233912e-01,1.338714990721181280e+17
7.500003128946701736e-01,3.749888012094552000e+15
1.250000521491116956e+00,1.398676935186207750e+15
1.750000730087563738e+00,7.498630202282956250e+14
2.250000938684010521e+00,3.991021588006035000e+14
2.750001147280457747e+00,1.628305839746646875e+14
3.250001355876904086e+00,3.555144739499669531e+13
3.750001564473351312e+00,1.599505451177343750e+13
4.250001773069797650e+00,1.145821910814369141e+13
4.750001981666244433e+00,1.117950567037805859e+13
5.250002190262692103e+00,4.025860767726150391e+12
5.750002398859138886e+00,2.307127901504602539e+12
6.250002607455584780e+00,1.656796546718071045e+12
6.750002816052032451e+00,1.269694549821325928e+12
7.250003024648479233e+00,1.548407987586982422e+12
7.750003233244925127e+00,1.099369671186757935e+12
8.250003441841371910e+00,1.192274150441976807e+12
8.750003650437818692e+00,9.909811120556695557e+11
9.250003859034265474e+00,7.122676742900125732e+11
9.750004067630712257e+00,7.742039937934920654e+11
1.025000427622716082e+01,9.909811120556694336e+11
1.075000448482360760e+01,9.290447925521904297e+11
1.125000469342005438e+01,1.021949271807408569e+12
1.175000490201649939e+01,1.254210469945456055e+12
1.225000511061294617e+01,2.384548300883951172e+12
1.275000531920939295e+01,4.815548841395530273e+12
1.325000552780584151e+01,6.410409068610158203e+12
1.375000573640228829e+01,7.664619538555640625e+12
1.425000594499873507e+01,9.878842960804962891e+12
1.475000615359518008e+01,1.438471020468296680e+13
1.525000636219162686e+01,2.279256557728006250e+13
1.575000657078807365e+01,1.732668538109821094e+13
1.625000677938452043e+01,2.164674366646577734e+13
1.675000698798096721e+01,1.559246843500092578e+13
1.725000719657741399e+01,2.833586617284155469e+13
1.775000740517386077e+01,1.941703616434077344e+13
1.825000761377030756e+01,3.346109661175433203e+13
1.875000782236675434e+01,5.153101782689391406e+13
1.925000803096320112e+01,5.184069942441130469e+13
1.975000823955964790e+01,4.696321426351316406e+13
2.025000844815609469e+01,3.782760713674949219e+13
2.075000865675254502e+01,3.858632705066710156e+13
2.125000886534899180e+01,3.805986833488753906e+13
2.175000907394543859e+01,2.830489801308981250e+13
2.225000928254188537e+01,5.193360390366935156e+13
2.275000949113832860e+01,5.458138156244130469e+13
2.325000969973477538e+01,3.216043390218129688e+13
2.375000990833122216e+01,2.449581436362594141e+13
2.425001011692766895e+01,2.115125311043812891e+13
2.475001032552411573e+01,1.131886238926093164e+13
2.525001053412056251e+01,9.321416085273689453e+12
2.575001074271700929e+01,1.076143551372958008e+13
2.625001095131345963e+01,1.274339773784086719e+13
2.675001115990990641e+01,7.122676742900118164e+12
2.725001136850635319e+01,4.273606045740066895e+12
2.775001157710279998e+01,4.908453320650731445e+12
2.825001178569924676e+01,6.503313547865356445e+12
2.875001199429569354e+01,7.571715059300406250e+12
2.925001220289213677e+01,3.298109013560270020e+12
2.975001241148858355e+01,1.099369671186756958e+12
3.025001262008503033e+01,9.754970321797987061e+11
3.075001282868147712e+01,8.980766328004494629e+11
3.125001303727792390e+01,1.254210469945454834e+12
3.175001324587437068e+01,1.254210469945454834e+12
3.225001345447081746e+01,1.083885591310888214e+11
3.275001366306726425e+01,0.000000000000000000e+00
3.325001387166371103e+01,0.000000000000000000e+00
3.375001408026015781e+01,0.000000000000000000e+00
3.425001428885660459e+01,0.000000000000000000e+00
3.475001449745305138e+01,0.000000000000000000e+00
3.525001470604949816e+01,0.000000000000000000e+00
3.575001491464594494e+01,0.000000000000000000e+00
3.625001512324239172e+01,0.000000000000000000e+00
3.675001533183883851e+01,0.000000000000000000e+00
3.725001554043528529e+01,0.000000000000000000e+00
3.775001574903173207e+01,0.000000000000000000e+00
3.825001595762817885e+01,0.000000000000000000e+00
3.875001616622462564e+01,0.000000000000000000e+00
3.925001637482107242e+01,0.000000000000000000e+00
3.975001658341751920e+01,0.000000000000000000e+00
4.025001679201396598e+01,0.000000000000000000e+00
4.075001700061041277e+01,0.000000000000000000e+00
4.125001720920686665e+01,0.000000000000000000e+00
4.175001741780331344e+01,0.000000000000000000e+00
4.225001762639976022e+01,0.000000000000000000e+00
4.275001783499620700e+01,0.000000000000000000e+00
4.325001804359265378e+01,0.000000000000000000e+00
4.375001825218910056e+01,0.000000000000000000e+00
4.425001846078554735e+01,0.000000000000000000e+00
4.475001866938199413e+01,0.000000000000000000e+00
4.525001887797843381e+01,0.000000000000000000e+00
4.575001908657488059e+01,0.000000000000000000e+00
4.625001929517132737e+01,0.000000000000000000e+00
4.675001950376777415e+01,0.000000000000000000e+00
4.725001971236422094e+01,0.000000000000000000e+00
4.775001992096066772e+01,0.000000000000000000e+00
4.825002012955711450e+01,0.000000000000000000e+00
4.875002033815356128e+01,0.000000000000000000e+00
4.925002054675000807e+01,0.000000000000000000e+00
4.975002075534645485e+01,0.000000000000000000e+00
