Eion,Wion
4.999996975974968505e-02,6.878363573293719552e+19
1.499999092792490551e-01,7.711157079365031680e+17
2.499998487987483975e-01,4.473277827419767040e+17
3.499997883182477953e-01,2.411260802971661440e+17
4.499997278377471099e-01,1.175242863673642560e+17
5.499996673572464800e-01,6.320607864975780800e+16
6.499996068767459612e-01,4.047542616130900800e+16
7.499995463962453313e-01,2.406228471869612400e+16
8.499994859157447014e-01,1.365697240790835800e+16
9.499994254352439604e-01,1.102467613881040000e+16
1.049999364954743220e+00,9.607881382207676000e+15
1.149999304474242701e+00,7.989793381497457000e+15
1.249999243993742182e+00,7.610433036833341000e+15
1.349999183513241441e+00,6.936874873858274000e+15
1.449999123032740700e+00,6.542030433493581000e+15
1.549999062552239959e+00,6.209122375931191000e+15
1.649999002071739440e+00,6.263316710883204000e+15
1.749998941591238921e+00,5.976860940422544000e+15
1.849998881110738180e+00,5.427175543052084000e+15
1.949998820630237661e+00,4.622002566622111000e+15
2.049998760149736921e+00,4.289094509059712000e+15
2.149998699669236846e+00,3.909734164395584500e+15
2.249998639188735883e+00,3.259402144971362500e+15
2.349998578708235364e+00,2.338098450787050000e+15
2.449998518227734845e+00,2.160031350230419750e+15
2.549998457747233882e+00,1.292921990998137000e+15
2.649998397266733363e+00,1.261953799596984250e+15
2.749998336786232400e+00,9.600139334357430000e+14
2.849998276305732325e+00,9.522718855854546250e+14
2.949998215825231362e+00,8.361411678311310000e+14
3.049998155344730844e+00,7.045263543762307500e+14
3.149998094864230325e+00,4.645228710172955625e+14
3.249998034383729362e+00,4.412967274664308750e+14
3.349997973903228843e+00,2.941978183109539375e+14
3.449997913422728324e+00,2.245193876583595312e+14
3.549997852942227805e+00,2.012932441074947500e+14
3.649997792461726842e+00,1.703250527063416875e+14
3.749997731981226767e+00,2.012932441074947500e+14
3.849997671500725804e+00,1.780671005566299375e+14
3.949997611020224841e+00,1.780671005566299375e+14
4.049997550539724323e+00,1.625830048560534688e+14
4.149997490059224248e+00,1.238727656046121406e+14
4.249997429578723285e+00,2.245193876583595312e+14
4.349997369098222322e+00,1.006466220537473750e+14
4.449997308617722247e+00,1.316148134549003906e+14
4.549997248137221284e+00,1.393568613051886719e+14
4.649997187656720321e+00,1.161307177543238594e+14
4.749997127176220246e+00,1.703250527063416875e+14
4.849997066695720171e+00,1.006466220537473594e+14
4.949997006215218320e+00,1.238727656046121406e+14
5.049996945734718246e+00,1.083886699040356250e+14
5.149996885254217283e+00,8.516252635317084375e+13
5.249996824773716320e+00,7.742047850288259375e+13
5.349996764293216245e+00,1.316148134549004062e+14
5.449996703812715282e+00,9.290457420345912500e+13
5.549996643332215207e+00,6.967843065259433594e+13
5.649996582851714244e+00,1.316148134549004062e+14
5.749996522371213281e+00,5.419433495201782031e+13
5.849996461890713206e+00,8.516252635317084375e+13
5.949996401410212243e+00,7.742047850288259375e+13
6.049996340929711280e+00,1.548409570057651875e+14
6.149996280449211206e+00,8.516252635317084375e+13
6.249996219968711131e+00,6.967843065259433594e+13
6.349996159488209280e+00,7.742047850288259375e+13
6.449996099007709205e+00,5.419433495201781250e+13
6.549996038527209130e+00,3.096819140115304297e+13
6.649995978046707279e+00,3.096819140115304297e+13
6.749995917566207204e+00,7.742047850288260742e+12
6.849995857085707129e+00,0.000000000000000000e+00
6.949995796605206166e+00,0.000000000000000000e+00
7.049995736124705203e+00,0.000000000000000000e+00
7.149995675644205129e+00,0.000000000000000000e+00
7.249995615163704166e+00,0.000000000000000000e+00
7.349995554683203203e+00,0.000000000000000000e+00
7.449995494202703128e+00,0.000000000000000000e+00
7.549995433722202165e+00,0.000000000000000000e+00
7.649995373241702090e+00,0.000000000000000000e+00
7.749995312761201127e+00,0.000000000000000000e+00
7.849995252280700164e+00,0.000000000000000000e+00
7.949995191800200089e+00,0.000000000000000000e+00
8.049995131319699126e+00,0.000000000000000000e+00
8.149995070839198164e+00,0.000000000000000000e+00
8.249995010358697201e+00,0.000000000000000000e+00
8.349994949878198014e+00,0.000000000000000000e+00
8.449994889397697051e+00,0.000000000000000000e+00
8.549994828917194312e+00,0.000000000000000000e+00
8.649994768436695125e+00,0.000000000000000000e+00
8.749994707956194162e+00,0.000000000000000000e+00
8.849994647475694975e+00,0.000000000000000000e+00
8.949994586995194013e+00,0.000000000000000000e+00
9.049994526514693050e+00,0.000000000000000000e+00
9.149994466034192087e+00,0.000000000000000000e+00
9.249994405553691124e+00,0.000000000000000000e+00
9.349994345073190161e+00,0.000000000000000000e+00
9.449994284592690974e+00,0.000000000000000000e+00
9.549994224112190011e+00,0.000000000000000000e+00
9.649994163631689048e+00,0.000000000000000000e+00
9.749994103151188085e+00,0.000000000000000000e+00
9.849994042670687122e+00,0.000000000000000000e+00
9.949993982190186159e+00,0.000000000000000000e+00
